bj_f_rank|bj_name|bj_id|bj_rank_all|bj_follower|bj_swatch|bj_last_time|bj_last_visit|bj_last_up|bj_info_bs|bj_url|img
518|쵸망|psm9104|322위|786|21,286|2017-07-23|2017-10-01 20:21|12 (5,794)|BJ쵸망♡|http://www.afreecatv.com/psm9104|http://stimg.afreecatv.com/LOGO/ps/psm9104/psm9104.jpg
519|윤아님♥|yoon1228|392위|711|30,173|2016-09-25|2017-10-03 13:07|12 (55,928)|윤아TV♥|http://www.afreecatv.com/yoon1228|http://stimg.afreecatv.com/LOGO/yo/yoon1228/yoon1228.jpg
520|진예♥|lele96|1,148위|2,495|76,410|2015-02-11|2017-09-30 20:44|18 (22,062)|후후훟|http://www.afreecatv.com/lele96|http://stimg.afreecatv.com/LOGO/le/lele96/lele96.jpg
521|잔잔한윈드ω|fullmoonsm|1,715위|25,131|2,971,988|2009-04-12|2017-10-03 16:45|20 (224,365)|윈드의 라디오 / 랜덤 종합게임|http://www.afreecatv.com/fullmoonsm|http://stimg.afreecatv.com/LOGO/fu/fullmoonsm/fullmoonsm.jpg
522|하이룽~|h2roong|1,373위|713|33,886|2017-05-10|2017-10-04 06:00|14 (9,875)|하이룽 하룽|http://www.afreecatv.com/h2roong|http://stimg.afreecatv.com/LOGO/h2/h2roong/h2roong.jpg
523|BJ예진♥|yejin0523|313위|1,957|58,160|2017-07-02|2017-10-03 15:28|13 (17,867)|예진이랑 같이 놀아줄사람?♡|http://www.afreecatv.com/yejin0523|http://stimg.afreecatv.com/LOGO/ye/yejin0523/yejin0523.jpg
524|BJ야야|tkdmsttwo|911위|3,107|148,410|2016-01-17|2017-10-03 04:36|12 (25,172)|2016.10.10~ing|http://www.afreecatv.com/tkdmsttwo|http://stimg.afreecatv.com/LOGO/tk/tkdmsttwo/tkdmsttwo.jpg
525|*은하토끼*|helki01|340위|648|18,584|2016-10-10|2017-10-04 00:00|14 (6,430)|클린한방송을지향합니다^^|http://www.afreecatv.com/helki01|http://stimg.afreecatv.com/LOGO/he/helki01/helki01.jpg
526|BJ채영♥|zziny0502|328위|670|14,886|2017-06-30|2017-10-03 23:16|9 (4,972)|보이는라디오 신입여캠 BJ채영입니다|http://www.afreecatv.com/zziny0502|http://stimg.afreecatv.com/LOGO/zz/zziny0502/zziny0502.jpg
527|♡현블리♡|charm7330|1,814위|2,964|175,156|2016-03-20|2017-10-03 21:17|34 (45,973)|소개팅/먹방/얼평/남캠/여캠/롤/오버워치/엽기/미션/소개팅|http://www.afreecatv.com/charm7330|http://stimg.afreecatv.com/LOGO/ch/charm7330/charm7330.jpg
529|임세령|grape01|296위|754|20,640|2017-08-04|2017-10-04 00:00|19 (5,504)|신입/여캠/토크/연애/고민/상담/소통/스팀/먹방/댄스/야방|http://www.afreecatv.com/grape01|http://stimg.afreecatv.com/LOGO/gr/grape01/grape01.jpg
528|BJ지효♡|yoobee22|791위|112,404|17,760|2013-06-04|2017-09-26 23:07|90 (1,201,984)|화~토 밤10시쯔음 생방송!! 일,월 게릴라성 생방★|http://www.afreecatv.com/yoobee22|http://stimg.afreecatv.com/LOGO/yo/yoobee22/yoobee22.jpg
530|우주＃|tbtbtb1022|880위|1,696|46,488|2017-02-10|2017-10-03 00:15|21 (11,363)|불꽃카리스마우주|http://www.afreecatv.com/tbtbtb1022|http://stimg.afreecatv.com/LOGO/tb/tbtbtb1022/tbtbtb1022.jpg
531|핵심만|haha0811|368위|146|5,487|2017-08-11|2017-10-03 21:49|12 (2,325)|afreecaTV|http://www.afreecatv.com/haha0811|http://stimg.afreecatv.com/LOGO/ha/haha0811/haha0811.jpg
532|홍시*3*|dotoris2|363위|382|8,567|2015-12-29|2017-10-03 18:48|5 (1,778)|힘이 솟아나게 만들어줄게!|http://www.afreecatv.com/dotoris2|http://stimg.afreecatv.com/LOGO/do/dotoris2/dotoris2.jpg
533|정삼누나|skmpooh|1,310위|1,939|177,426|2003-04-29|2017-10-03 19:21|14 (19,027)|먹방 소통 잠방 욕캠 술먹방|http://www.afreecatv.com/skmpooh|http://stimg.afreecatv.com/LOGO/sk/skmpooh/skmpooh.jpg
534|H혜영|la0130|343위|264|9,177|2017-08-06|2017-10-03 21:10|12 (2,768)|노잼!!선비!!|http://www.afreecatv.com/la0130|http://stimg.afreecatv.com/LOGO/la/la0130/la0130.jpg
535|희야_♥|kwak0407|2,046위|1,985|219,237|2015-10-02|2017-10-04 09:33|43 (26,051)|BJ희야입니다|http://www.afreecatv.com/kwak0407|http://stimg.afreecatv.com/LOGO/kw/kwak0407/kwak0407.jpg
